src,trg,NL,Sim_Score
kg,kg,0,0.301029995663981
ny,ny,0,0.301029995663981
ss,ss,0,0.301029995663981
fe,fe,0,0.301029995663981
vs,vs,0,0.301029995663981
hp,hp,0,0.301029995663981
em,em,0,0.301029995663981
mi,mi,0,0.301029995663981
aa,aa,0,0.301029995663981
br,br,0,0.301029995663981
hm,hm,0,0.301029995663981
ch,ch,0,0.301029995663981
ce,ce,0,0.301029995663981
lp,lp,0,0.301029995663981
ab,ab,0,0.301029995663981
mb,mb,0,0.301029995663981
sa,sa,0,0.301029995663981
xi,xi,0,0.301029995663981
gb,gb,0,0.301029995663981
cf,cf,0,0.301029995663981
po,po,0,0.301029995663981
au,au,0,0.301029995663981
cc,cc,0,0.301029995663981
mt,mt,0,0.301029995663981
ni,ni,0,0.301029995663981
nt,nt,0,0.301029995663981
ap,ap,0,0.301029995663981
ho,ho,0,0.301029995663981
oz,oz,0,0.301029995663981
ps,ps,0,0.301029995663981
md,md,0,0.301029995663981
si,si,0,0.301029995663981
ph,ph,0,0.301029995663981
bp,bp,0,0.301029995663981
il,il,0,0.301029995663981
hd,hd,0,0.301029995663981
fr,fr,0,0.301029995663981
mc,mc,0,0.301029995663981
a4,a4,0,0.301029995663981
es,es,0,0.301029995663981
sp,sp,0,0.301029995663981
nb,nb,0,0.301029995663981
sr,sr,0,0.301029995663981
ar,ar,0,0.301029995663981
op,op,0,0.301029995663981
rt,rt,0,0.301029995663981
td,td,0,0.301029995663981
ra,ra,0,0.301029995663981
ne,ne,0,0.301029995663981
sc,sc,0,0.301029995663981
g8,g8,0,0.301029995663981
ya,ya,0,0.301029995663981
ds,ds,0,0.301029995663981
hq,hq,0,0.301029995663981
ix,ix,0,0.301029995663981
mk,mk,0,0.301029995663981
mo,mo,0,0.301029995663981
wu,wu,0,0.301029995663981
à,àà,0.5,0.176091259055681
ta,ta,0,0.301029995663981
a1,a1,0,0.301029995663981
fx,fx,0,0.301029995663981
ct,ct,0,0.301029995663981
nr,nr,0,0.301029995663981
bb,bb,0,0.301029995663981
ti,ti,0,0.301029995663981
su,su,0,0.301029995663981
pe,pe,0,0.301029995663981
te,te,0,0.301029995663981
tb,tb,0,0.301029995663981
eh,eh,0,0.301029995663981
lb,lb,0,0.301029995663981
ag,ag,0,0.301029995663981
ga,ga,0,0.301029995663981
ml,ml,0,0.301029995663981
wc,wc,0,0.301029995663981
a2,a2,0,0.301029995663981
ea,ea,0,0.301029995663981
cs,cs,0,0.301029995663981
bs,bs,0,0.301029995663981
lo,lo,0,0.301029995663981
f1,f1,0,0.301029995663981
lt,lt,0,0.301029995663981
gt,gt,0,0.301029995663981
sf,sf,0,0.301029995663981
sw,sw,0,0.301029995663981
pi,pi,0,0.301029995663981
dh,dh,0,0.301029995663981
sb,sb,0,0.301029995663981
pt,pt,0,0.301029995663981
pg,pg,0,0.301029995663981
o2,o2,0,0.301029995663981
cp,cp,0,0.301029995663981
db,db,0,0.301029995663981
xx,xx,0,0.301029995663981
av,av,0,0.301029995663981
m1,m1,0,0.301029995663981
rs,rs,0,0.301029995663981
sd,sd,0,0.301029995663981
ir,ir,0,0.301029995663981
wa,wa,0,0.301029995663981
nm,nm,0,0.301029995663981
mw,mw,0,0.301029995663981
fu,fu,0,0.301029995663981
qc,qc,0,0.301029995663981
cr,cr,0,0.301029995663981
uv,uv,0,0.301029995663981
ou,ou,0,0.301029995663981
yu,yu,0,0.301029995663981
pb,pb,0,0.301029995663981
rf,rf,0,0.301029995663981
cw,cw,0,0.301029995663981
tm,tm,0,0.301029995663981
fl,fl,0,0.301029995663981
ge,ge,0,0.301029995663981
xv,xv,0,0.301029995663981
wi,wi,0,0.301029995663981
tx,tx,0,0.301029995663981
rc,rc,0,0.301029995663981
rm,rm,0,0.301029995663981
bo,bo,0,0.301029995663981
v8,v8,0,0.301029995663981
nc,nc,0,0.301029995663981
ui,ui,0,0.301029995663981
ot,ot,0,0.301029995663981
nj,nj,0,0.301029995663981
gr,gr,0,0.301029995663981
tr,tr,0,0.301029995663981
va,va,0,0.301029995663981
ci,ci,0,0.301029995663981
um,um,0,0.301029995663981
yo,yo,0,0.301029995663981
ka,ka,0,0.301029995663981
kw,kw,0,0.301029995663981
lu,lu,0,0.301029995663981
m6,m6,0,0.301029995663981
ur,ur,0,0.301029995663981
a3,a3,0,0.301029995663981
iq,iq,0,0.301029995663981
fi,fi,0,0.301029995663981
m4,m4,0,0.301029995663981
ib,ib,0,0.301029995663981
ic,ic,0,0.301029995663981
tt,tt,0,0.301029995663981
ff,ff,0,0.301029995663981
yi,yi,0,0.301029995663981
je,je,0,0.301029995663981
ng,ng,0,0.301029995663981
sh,sh,0,0.301029995663981
ht,ht,0,0.301029995663981
cl,cl,0,0.301029995663981
a5,a5,0,0.301029995663981
m2,m2,0,0.301029995663981
cu,cu,0,0.301029995663981
dm,dm,0,0.301029995663981
mv,mv,0,0.301029995663981
s1,s1,0,0.301029995663981
mu,mu,0,0.301029995663981
np,np,0,0.301029995663981
jp,jp,0,0.301029995663981
dd,dd,0,0.301029995663981
gi,gi,0,0.301029995663981
tu,tu,0,0.301029995663981
ko,ko,0,0.301029995663981
af,af,0,0.301029995663981
sm,sm,0,0.301029995663981
pl,pl,0,0.301029995663981
ia,ia,0,0.301029995663981
bk,bk,0,0.301029995663981
dv,dv,0,0.301029995663981
pd,pd,0,0.301029995663981
lg,lg,0,0.301029995663981
ld,ld,0,0.301029995663981
fo,fo,0,0.301029995663981
u2,u2,0,0.301029995663981
b1,b1,0,0.301029995663981
rn,rn,0,0.301029995663981
s2,s2,0,0.301029995663981
cb,cb,0,0.301029995663981
m3,m3,0,0.301029995663981
hz,hz,0,0.301029995663981
ls,ls,0,0.301029995663981
hc,hc,0,0.301029995663981
uc,uc,0,0.301029995663981
og,og,0,0.301029995663981
hu,hu,0,0.301029995663981
bn,bn,0,0.301029995663981
ut,ut,0,0.301029995663981
ts,ts,0,0.301029995663981
gc,gc,0,0.301029995663981
rb,rb,0,0.301029995663981
dl,dl,0,0.301029995663981
jc,jc,0,0.301029995663981
ji,ji,0,0.301029995663981
ki,ki,0,0.301029995663981
tc,tc,0,0.301029995663981
c1,c1,0,0.301029995663981
ul,ul,0,0.301029995663981
e1,e1,0,0.301029995663981
io,io,0,0.301029995663981
ja,ja,0,0.301029995663981
bl,bl,0,0.301029995663981
mn,mn,0,0.301029995663981
ns,ns,0,0.301029995663981
c2,c2,0,0.301029995663981
vp,vp,0,0.301029995663981
ei,ei,0,0.301029995663981
sl,sl,0,0.301029995663981
bi,bi,0,0.301029995663981
xl,xl,0,0.301029995663981
l2,l2,0,0.301029995663981
x4,x4,0,0.301029995663981
vw,vw,0,0.301029995663981
sv,sv,0,0.301029995663981
c4,c4,0,0.301029995663981
bj,bj,0,0.301029995663981
vr,vr,0,0.301029995663981
om,om,0,0.301029995663981
wb,wb,0,0.301029995663981
nu,nu,0,0.301029995663981
v6,v6,0,0.301029995663981
pv,pv,0,0.301029995663981
dg,dg,0,0.301029995663981
dp,dp,0,0.301029995663981
qi,qi,0,0.301029995663981
hb,hb,0,0.301029995663981
aw,aw,0,0.301029995663981
nl,nl,0,0.301029995663981
gs,gs,0,0.301029995663981
ro,ro,0,0.301029995663981
fk,fk,0,0.301029995663981
m5,m5,0,0.301029995663981
mx,mx,0,0.301029995663981
ty,ty,0,0.301029995663981
ol,ol,0,0.301029995663981
b2,b2,0,0.301029995663981
n1,n1,0,0.301029995663981
l1,l1,0,0.301029995663981
sk,sk,0,0.301029995663981
aj,aj,0,0.301029995663981
pj,pj,0,0.301029995663981
zu,zu,0,0.301029995663981
dt,dt,0,0.301029995663981
jd,jd,0,0.301029995663981
dx,dx,0,0.301029995663981
ox,ox,0,0.301029995663981
ee,ee,0,0.301029995663981
nh,nh,0,0.301029995663981
v2,v2,0,0.301029995663981
ri,ri,0,0.301029995663981
r1,r1,0,0.301029995663981
gu,gu,0,0.301029995663981
e3,e3,0,0.301029995663981
x2,x2,0,0.301029995663981
vb,vb,0,0.301029995663981
oi,oi,0,0.301029995663981
ev,ev,0,0.301029995663981
sg,sg,0,0.301029995663981
jm,jm,0,0.301029995663981
rp,rp,0,0.301029995663981
gh,gh,0,0.301029995663981
wp,wp,0,0.301029995663981
t1,t1,0,0.301029995663981
ae,ae,0,0.301029995663981
q1,q1,0,0.301029995663981
g4,g4,0,0.301029995663981
oa,oa,0,0.301029995663981
tp,tp,0,0.301029995663981
jg,jg,0,0.301029995663981
h1,h1,0,0.301029995663981
xu,xu,0,0.301029995663981
r2,r2,0,0.301029995663981
ku,ku,0,0.301029995663981
jb,jb,0,0.301029995663981
rv,rv,0,0.301029995663981
bu,bu,0,0.301029995663981
wh,wh,0,0.301029995663981
vo,vo,0,0.301029995663981
a6,a6,0,0.301029995663981
hs,hs,0,0.301029995663981
jj,jj,0,0.301029995663981
cg,cg,0,0.301029995663981
sj,sj,0,0.301029995663981
uh,uh,0,0.301029995663981
rh,rh,0,0.301029995663981
rr,rr,0,0.301029995663981
ay,ay,0,0.301029995663981
e4,e4,0,0.301029995663981
c3,c3,0,0.301029995663981
bm,bm,0,0.301029995663981
fs,fs,0,0.301029995663981
ao,ao,0,0.301029995663981
mj,mj,0,0.301029995663981
oc,oc,0,0.301029995663981
ke,ke,0,0.301029995663981
f2,f2,0,0.301029995663981
ju,ju,0,0.301029995663981
vu,vu,0,0.301029995663981
tf,tf,0,0.301029995663981
eb,eb,0,0.301029995663981
oj,oj,0,0.301029995663981
ak,ak,0,0.301029995663981
q2,q2,0,0.301029995663981
s3,s3,0,0.301029995663981
js,js,0,0.301029995663981
p1,p1,0,0.301029995663981
g2,g2,0,0.301029995663981
g3,g3,0,0.301029995663981
sn,sn,0,0.301029995663981
cj,cj,0,0.301029995663981
kc,kc,0,0.301029995663981
d1,d1,0,0.301029995663981
gl,gl,0,0.301029995663981
ob,ob,0,0.301029995663981
lc,lc,0,0.301029995663981
gw,gw,0,0.301029995663981
h2,h2,0,0.301029995663981
dw,dw,0,0.301029995663981
hf,hf,0,0.301029995663981
cn,cn,0,0.301029995663981
az,az,0,0.301029995663981
pf,pf,0,0.301029995663981
bd,bd,0,0.301029995663981
tn,tn,0,0.301029995663981
f3,f3,0,0.301029995663981
e2,e2,0,0.301029995663981
p4,p4,0,0.301029995663981
ek,ek,0,0.301029995663981
od,od,0,0.301029995663981
pn,pn,0,0.301029995663981
v1,v1,0,0.301029995663981
q3,q3,0,0.301029995663981
b3,b3,0,0.301029995663981
tk,tk,0,0.301029995663981
v3,v3,0,0.301029995663981
bg,bg,0,0.301029995663981
t2,t2,0,0.301029995663981
t3,t3,0,0.301029995663981
hl,hl,0,0.301029995663981
lm,lm,0,0.301029995663981
b4,b4,0,0.301029995663981
d2,d2,0,0.301029995663981
fp,fp,0,0.301029995663981
gg,gg,0,0.301029995663981
jt,jt,0,0.301029995663981
xm,xm,0,0.301029995663981
p3,p3,0,0.301029995663981
rj,rj,0,0.301029995663981
oo,oo,0,0.301029995663981
lh,lh,0,0.301029995663981
mh,mh,0,0.301029995663981
q4,q4,0,0.301029995663981
g1,g1,0,0.301029995663981
b6,b6,0,0.301029995663981
jk,jk,0,0.301029995663981
kt,kt,0,0.301029995663981
rl,rl,0,0.301029995663981
jn,jn,0,0.301029995663981
nk,nk,0,0.301029995663981
df,df,0,0.301029995663981
mf,mf,0,0.301029995663981
x1,x1,0,0.301029995663981
c5,c5,0,0.301029995663981
ax,ax,0,0.301029995663981
tl,tl,0,0.301029995663981
ky,ky,0,0.301029995663981
pu,pu,0,0.301029995663981
hh,hh,0,0.301029995663981
hg,hg,0,0.301029995663981
cy,cy,0,0.301029995663981
nv,nv,0,0.301029995663981
ig,ig,0,0.301029995663981
hk,hk,0,0.301029995663981
tg,tg,0,0.301029995663981
ef,ef,0,0.301029995663981
kv,kv,0,0.301029995663981
bv,bv,0,0.301029995663981
d3,d3,0,0.301029995663981
jh,jh,0,0.301029995663981
b5,b5,0,0.301029995663981
s4,s4,0,0.301029995663981
ew,ew,0,0.301029995663981
g5,g5,0,0.301029995663981
ua,ua,0,0.301029995663981
dn,dn,0,0.301029995663981
qt,qt,0,0.301029995663981
t4,t4,0,0.301029995663981
rg,rg,0,0.301029995663981
jw,jw,0,0.301029995663981
k2,k2,0,0.301029995663981
g7,g7,0,0.301029995663981
gf,gf,0,0.301029995663981
n2,n2,0,0.301029995663981
l3,l3,0,0.301029995663981
x3,x3,0,0.301029995663981
pk,pk,0,0.301029995663981
tj,tj,0,0.301029995663981
fg,fg,0,0.301029995663981
rx,rx,0,0.301029995663981
zx,zx,0,0.301029995663981
tw,tw,0,0.301029995663981
f4,f4,0,0.301029995663981
xs,xs,0,0.301029995663981
vj,vj,0,0.301029995663981
kk,kk,0,0.301029995663981
a9,a9,0,0.301029995663981
jl,jl,0,0.301029995663981
vm,vm,0,0.301029995663981
lf,lf,0,0.301029995663981
gk,gk,0,0.301029995663981
sy,sy,0,0.301029995663981
iu,iu,0,0.301029995663981
h3,h3,0,0.301029995663981
n3,n3,0,0.301029995663981
ru,ru,0,0.301029995663981
xc,xc,0,0.301029995663981
f5,f5,0,0.301029995663981
ik,ik,0,0.301029995663981
t5,t5,0,0.301029995663981
ud,ud,0,0.301029995663981
aq,aq,0,0.301029995663981
oe,oe,0,0.301029995663981
sx,sx,0,0.301029995663981
lx,lx,0,0.301029995663981
ln,ln,0,0.301029995663981
pq,pq,0,0.301029995663981
jv,jv,0,0.301029995663981
d5,d5,0,0.301029995663981
ck,ck,0,0.301029995663981
eo,eo,0,0.301029995663981
iw,iw,0,0.301029995663981
a8,a8,0,0.301029995663981
lk,lk,0,0.301029995663981
wd,wd,0,0.301029995663981
za,za,0,0.301029995663981
ez,ez,0,0.301029995663981
àà,àà,0,0.301029995663981
gn,gn,0,0.301029995663981
r3,r3,0,0.301029995663981
p5,p5,0,0.301029995663981
lv,lv,0,0.301029995663981
c6,c6,0,0.301029995663981
fb,fb,0,0.301029995663981
nn,nn,0,0.301029995663981
uu,uu,0,0.301029995663981
kp,kp,0,0.301029995663981
ug,ug,0,0.301029995663981
jf,jf,0,0.301029995663981
xy,xy,0,0.301029995663981
kh,kh,0,0.301029995663981
ej,ej,0,0.301029995663981
bh,bh,0,0.301029995663981
ij,ij,0,0.301029995663981
a7,a7,0,0.301029995663981
s6,s6,0,0.301029995663981
qu,qu,0,0.301029995663981
zi,zi,0,0.301029995663981
kj,kj,0,0.301029995663981
ub,ub,0,0.301029995663981
ly,ly,0,0.301029995663981
s5,s5,0,0.301029995663981
k1,k1,0,0.301029995663981
ze,ze,0,0.301029995663981
oy,oy,0,0.301029995663981
cx,cx,0,0.301029995663981
nx,nx,0,0.301029995663981
x5,x5,0,0.301029995663981
h4,h4,0,0.301029995663981
ry,ry,0,0.301029995663981
zz,zz,0,0.301029995663981
ue,ue,0,0.301029995663981
rk,rk,0,0.301029995663981
gx,gx,0,0.301029995663981
vx,vx,0,0.301029995663981
gq,gq,0,0.301029995663981
qr,qr,0,0.301029995663981
q5,q5,0,0.301029995663981
vg,vg,0,0.301029995663981
r4,r4,0,0.301029995663981
xd,xd,0,0.301029995663981
dy,dy,0,0.301029995663981
qs,qs,0,0.301029995663981
l4,l4,0,0.301029995663981
hy,hy,0,0.301029995663981
iz,iz,0,0.301029995663981
r8,r8,0,0.301029995663981
zn,zn,0,0.301029995663981
vd,vd,0,0.301029995663981
gj,gj,0,0.301029995663981
e7,e7,0,0.301029995663981
ov,ov,0,0.301029995663981
l5,l5,0,0.301029995663981
ux,ux,0,0.301029995663981
q7,q7,0,0.301029995663981
vf,vf,0,0.301029995663981
q6,q6,0,0.301029995663981
uf,uf,0,0.301029995663981
f8,f8,0,0.301029995663981
bx,bx,0,0.301029995663981
g6,g6,0,0.301029995663981
cz,cz,0,0.301029995663981
j2,j2,0,0.301029995663981
q8,q8,0,0.301029995663981
dz,dz,0,0.301029995663981
c7,c7,0,0.301029995663981
vl,vl,0,0.301029995663981
fj,fj,0,0.301029995663981
r5,r5,0,0.301029995663981
n4,n4,0,0.301029995663981
qq,qq,0,0.301029995663981
zf,zf,0,0.301029995663981
k9,k9,0,0.301029995663981
xa,xa,0,0.301029995663981
xr,xr,0,0.301029995663981
s7,s7,0,0.301029995663981
zo,zo,0,0.301029995663981
fv,fv,0,0.301029995663981
gy,gy,0,0.301029995663981
ey,ey,0,0.301029995663981
j1,j1,0,0.301029995663981
tá,tá,0,0.301029995663981
xo,xo,0,0.301029995663981
py,py,0,0.301029995663981
l6,l6,0,0.301029995663981
t6,t6,0,0.301029995663981
q9,q9,0,0.301029995663981
o3,o3,0,0.301029995663981
mz,mz,0,0.301029995663981
xk,xk,0,0.301029995663981
wj,wj,0,0.301029995663981
s8,s8,0,0.301029995663981
n8,n8,0,0.301029995663981
xe,xe,0,0.301029995663981
tz,tz,0,0.301029995663981
xj,xj,0,0.301029995663981
zé,zé,0,0.301029995663981
qe,qe,0,0.301029995663981
dé,dé,0,0.301029995663981
d7,d7,0,0.301029995663981
z1,z1,0,0.301029995663981
k4,k4,0,0.301029995663981
sá,sá,0,0.301029995663981
bq,bq,0,0.301029995663981
b9,b9,0,0.301029995663981
sé,sé,0,0.301029995663981
tú,tú,0,0.301029995663981
d9,d9,0,0.301029995663981
d8,d8,0,0.301029995663981
uo,uo,0,0.301029995663981
ìì,ìì,0,0.301029995663981
n9,n9,0,0.301029995663981
uz,uz,0,0.301029995663981
ºc,ºc,0,0.301029995663981
h7,h7,0,0.301029995663981
x8,x8,0,0.301029995663981
pz,pz,0,0.301029995663981
x6,x6,0,0.301029995663981
z3,z3,0,0.301029995663981
ì,ìì,0.5,0.176091259055681
xb,xb,0,0.301029995663981
l8,l8,0,0.301029995663981
vh,vh,0,0.301029995663981
là,là,0,0.301029995663981
ça,ça,0,0.301029995663981
i3,i3,0,0.301029995663981
z4,z4,0,0.301029995663981
µg,µg,0,0.301029995663981
zb,zb,0,0.301029995663981
lá,lá,0,0.301029995663981
és,és,0,0.301029995663981
rz,rz,0,0.301029995663981
r9,r9,0,0.301029995663981
nº,nº,0,0.301029995663981
má,má,0,0.301029995663981
fz,fz,0,0.301029995663981
l0,l0,0,0.301029995663981
zp,zp,0,0.301029995663981
xf,xf,0,0.301029995663981
fé,fé,0,0.301029995663981
l9,l9,0,0.301029995663981
i5,i5,0,0.301029995663981
sí,sí,0,0.301029995663981
mí,mí,0,0.301029995663981
g9,g9,0,0.301029995663981
ná,ná,0,0.301029995663981
mé,mé,0,0.301029995663981
nó,nó,0,0.301029995663981
uy,uy,0,0.301029995663981
cá,cá,0,0.301029995663981
cú,cú,0,0.301029995663981
él,él,0,0.301029995663981
fq,fq,0,0.301029995663981
dá,dá,0,0.301029995663981
i7,i7,0,0.301029995663981
xq,xq,0,0.301029995663981
is,iss,0.333333333333333,0.221848749616356
is,iis,0.333333333333333,0.221848749616356
was,was,0,0.301029995663981
as,ass,0.333333333333333,0.221848749616356
as,aas,0.333333333333333,0.221848749616356
his,his,0,0.301029995663981
has,has,0,0.301029995663981
its,its,0,0.301029995663981
so,soo,0.333333333333333,0.221848749616356
so,sso,0.333333333333333,0.221848749616356
she,she,0,0.301029995663981
use,use,0,0.301029995663981
us,uss,0.333333333333333,0.221848749616356
see,see,0,0.301029995663981
set,set,0,0.301029995663981
say,say,0,0.301029995663981
six,six,0,0.301029995663981
son,son,0,0.301029995663981
st,sst,0.333333333333333,0.221848749616356
saw,saw,0,0.301029995663981
sea,sea,0,0.301029995663981
ask,ask,0,0.301029995663981
yes,yes,0,0.301029995663981
sir,sir,0,0.301029995663981
sun,sun,0,0.301029995663981
usa,usa,0,0.301029995663981
san,san,0,0.301029995663981
nhs,nhs,0,0.301029995663981
gas,gas,0,0.301029995663981
bus,bus,0,0.301029995663981
mrs,mrs,0,0.301029995663981
los,los,0,0.301029995663981
sex,sex,0,0.301029995663981
sat,sat,0,0.301029995663981
sky,sky,0,0.301029995663981
sit,sit,0,0.301029995663981
ms,mms,0.333333333333333,0.221848749616356
sum,sum,0,0.301029995663981
sam,sam,0,0.301029995663981
sep,sep,0,0.301029995663981
des,des,0,0.301029995663981
u.s,u.s,0,0.301029995663981
hms,hms,0,0.301029995663981
sin,sin,0,0.301029995663981
ski,ski,0,0.301029995663981
sue,sue,0,0.301029995663981
mps,mps,0,0.301029995663981
sad,sad,0,0.301029995663981
les,les,0,0.301029995663981
sri,sri,0,0.301029995663981
os,oss,0.333333333333333,0.221848749616356
las,las,0,0.301029995663981
gps,gps,0,0.301029995663981
msc,msc,0,0.301029995663981
spa,spa,0,0.301029995663981
cds,cds,0,0.301029995663981
sub,sub,0,0.301029995663981
se,see,0.333333333333333,0.221848749616356
se,sse,0.333333333333333,0.221848749616356
usb,usb,0,0.301029995663981
uss,uss,0,0.301029995663981
ash,ash,0,0.301029995663981
cos,cos,0,0.301029995663981
ss,sss,0.333333333333333,0.221848749616356
pcs,pcs,0,0.301029995663981
cbs,cbs,0,0.301029995663981
ads,ads,0,0.301029995663981
rss,rss,0,0.301029995663981
bsc,bsc,0,0.301029995663981
iso,iso,0,0.301029995663981
sa,ssa,0.333333333333333,0.221848749616356
sa,saa,0.333333333333333,0.221848749616356
eds,eds,0,0.301029995663981
sec,sec,0,0.301029995663981
spy,spy,0,0.301029995663981
fsa,fsa,0,0.301029995663981
dos,dos,0,0.301029995663981
ps,pps,0.333333333333333,0.221848749616356
ps,pss,0.333333333333333,0.221848749616356
si,ssi,0.333333333333333,0.221848749616356
si,sii,0.333333333333333,0.221848749616356
sql,sql,0,0.301029995663981
css,css,0,0.301029995663981
isa,isa,0,0.301029995663981
es,ees,0.333333333333333,0.221848749616356
es,ess,0.333333333333333,0.221848749616356
isp,isp,0,0.301029995663981
sp,ssp,0.333333333333333,0.221848749616356
sp,spp,0.333333333333333,0.221848749616356
sr,ssr,0.333333333333333,0.221848749616356
est,est,0,0.301029995663981
shy,shy,0,0.301029995663981
sc,ssc,0.333333333333333,0.221848749616356
sc,scc,0.333333333333333,0.221848749616356
ups,ups,0,0.301029995663981
ds,dss,0.333333333333333,0.221848749616356
sox,sox,0,0.301029995663981
são,são,0,0.301029995663981
sms,sms,0,0.301029995663981
su,suu,0.333333333333333,0.221848749616356
cps,cps,0,0.301029995663981
das,das,0,0.301029995663981
gis,gis,0,0.301029995663981
psp,psp,0,0.301029995663981
cs,ccs,0.333333333333333,0.221848749616356
cs,css,0.333333333333333,0.221848749616356
bs,bbs,0.333333333333333,0.221848749616356
cvs,cvs,0,0.301029995663981
sen,sen,0,0.301029995663981
sic,sic,0,0.301029995663981
seo,seo,0,0.301029995663981
hrs,hrs,0,0.301029995663981
sap,sap,0,0.301029995663981
msn,msn,0,0.301029995663981
cms,cms,0,0.301029995663981
csa,csa,0,0.301029995663981
rs,rss,0.333333333333333,0.221848749616356
sd,ssd,0.333333333333333,0.221848749616356
vhs,vhs,0,0.301029995663981
sur,sur,0,0.301029995663981
usd,usd,0,0.301029995663981
ids,ids,0,0.301029995663981
sol,sol,0,0.301029995663981
pas,pas,0,0.301029995663981
djs,djs,0,0.301029995663981
sid,sid,0,0.301029995663981
sim,sim,0,0.301029995663981
ass,ass,0,0.301029995663981
res,res,0,0.301029995663981
sas,sas,0,0.301029995663981
esf,esf,0,0.301029995663981
dns,dns,0,0.301029995663981
asa,asa,0,0.301029995663981
nus,nus,0,0.301029995663981
sac,sac,0,0.301029995663981
iss,iss,0,0.301029995663981
psa,psa,0,0.301029995663981
asp,asp,0,0.301029995663981
sci,sci,0,0.301029995663981
cis,cis,0,0.301029995663981
pbs,pbs,0,0.301029995663981
psi,psi,0,0.301029995663981
gsm,gsm,0,0.301029995663981
soc,soc,0,0.301029995663981
eps,eps,0,0.301029995663981
